1,1.916,1634284123,user_group-1,1.901996,,{}
2,2.396,1634284124,user_group-1,2.382041,,{}
3,2.495,1634284124,user_group-1,2.486942,,{}
4,2.575,1634284124,user_group-1,2.570924,,{}
5,4.096,1634284126,user_group-1,2.179004,,{}
6,4.145,1634284126,user_group-1,1.649933,,{}
7,4.708,1634284126,user_group-1,2.311310,,{}
8,4.808,1634284126,user_group-1,2.232733,,{}
9,5.752,1634284127,user_group-1,1.655127,,{}
10,5.945,1634284127,user_group-1,1.799145,,{}
11,6.971,1634284128,user_group-1,2.263154,,{}
12,7.049,1634284129,user_group-1,2.240527,,{}
13,7.401,1634284129,user_group-1,1.648995,,{}
14,7.646,1634284129,user_group-1,1.700215,,{}
15,8.458,1634284130,user_group-1,1.408035,,{}
16,8.746,1634284130,user_group-1,1.773989,,{}
17,9.095,1634284131,user_group-1,1.693945,,{}
18,9.771,1634284131,user_group-1,2.124707,,{}
19,10.718,1634284132,user_group-1,2.259346,,{}
20,10.819,1634284132,user_group-1,2.072890,,{}
21,11.263,1634284133,user_group-1,2.166817,,{}
22,11.922,1634284133,user_group-1,2.150602,,{}
23,12.495,1634284134,user_group-1,1.675472,,{}
24,12.568,1634284134,user_group-1,1.849489,,{}
25,13.448,1634284135,user_group-1,2.184758,,{}
26,14.020,1634284136,user_group-1,2.097332,,{}
27,14.546,1634284136,user_group-1,1.977613,,{}
28,14.626,1634284136,user_group-1,2.130390,,{}
29,14.995,1634284136,user_group-1,1.547049,,{}
30,15.845,1634284137,user_group-1,1.824706,,{}
31,16.303,1634284138,user_group-1,1.757087,,{}
32,16.400,1634284138,user_group-1,1.773838,,{}
33,17.524,1634284139,user_group-1,2.528027,,{}
34,17.712,1634284139,user_group-1,1.866170,,{}
35,18.309,1634284140,user_group-1,2.005051,,{}
36,18.378,1634284140,user_group-1,1.977388,,{}
37,20.196,1634284142,user_group-1,2.483493,,{}
38,20.379,1634284142,user_group-1,2.854449,,{}
39,20.527,1634284142,user_group-1,2.217578,,{}
40,20.602,1634284142,user_group-1,2.223179,,{}
41,22.298,1634284144,user_group-1,1.918405,,{}
42,22.564,1634284144,user_group-1,2.367453,,{}
43,22.748,1634284144,user_group-1,2.146097,,{}
44,22.846,1634284144,user_group-1,2.319127,,{}
45,24.798,1634284146,user_group-1,1.951342,,{}
46,24.896,1634284146,user_group-1,2.597786,,{}
47,24.962,1634284146,user_group-1,2.396959,,{}
48,25.099,1634284147,user_group-1,2.350476,,{}
49,27.419,1634284149,user_group-1,2.522895,,{}
50,27.424,1634284149,user_group-1,2.625079,,{}
51,27.429,1634284149,user_group-1,2.328539,,{}
52,27.511,1634284149,user_group-1,2.548893,,{}
53,29.004,1634284150,user_group-1,1.574636,,{}
54,29.749,1634284151,user_group-1,2.329093,,{}
55,29.846,1634284151,user_group-1,2.422007,,{}
56,29.849,1634284151,user_group-1,2.337855,,{}
